Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Epson,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
65.0,Ultra Short Throw,EB-810E Business Projector,,,,0.28,450999,,
66.0,Ultra Short Throw - Interactive,EB-L1485Fi Business Projector,,,,0.28,323999,,
67.0,Standard Throw,EB-L530U Business Projector,,,,0.28,229999,,
68.0,Standard Throw,EB-L630U Business Projector,,,,0.28,279999,,
69.0,Short Throw,EB-L630SU Business Projector,,,,0.28,329999,,
70.0,Standard Throw,EB-L730U Business Projector,,,,0.28,319999,,
71.0,Standard Throw,EB-L570U Business Projector (4KE),,,,0.28,313999,,
72.0,HBR - Lens Interchangable,EB-PU1007B Business Projector,,,,0.28,664999,,
73.0,HBR - Lens Interchangable,EB-PU1008B Business Projector,,,,0.28,874999,,
74.0,HBR - Lens Interchangable,EB-PU2010B Business Projector,,,,0.28,1588999,,
75.0,HBR - Lens Interchangable,EB-PU2213B Business Projector,,,,0.28,1665999,,
76.0,HBR - Lens Interchangable,EB-PU2216B Business Projector,,,,0.28,2144999,,
77.0,HBR - Lens Interchangable,EB-PU2220B Business Projector,,,,0.28,3543999,,
78.0,HBR - Lens Interchangable,EB-L30000 Business Projector,,,,0.28,8059999,,
