Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Kramer,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
48.0,CAT 6 Cable Retractor with RJ-45 for Kramer TBUS Table Boxes,KRT–4–LAN,27800,36140,430.2380952,0.18,,,
49.0,"Kramer TBUS Dual Socket Module with 
1 Universal AC Power Socket and 2 USB Charging Ports",TS–2UC/U,11900,15470,184.1666667,0.18,,,
50.0, VIA Connect PLUS Wired & Wireless Presentation Hub,Via Connect Plus,90000,117000,1392.857143,0.18,,,
51.0, Power Amplifier (1 x 120W at 70/100V & 2 x 60W at 4/8 Ohms),PA-120Z,69000,89700,1067.857143,0.18,,,
52.0,BC-1TMono Audio/Control Bulk Cable,kramer BC-1T-(300M),74,96.2,1.145238095,0.18,,2023-09-16 00:00:00,
53.0,"Kramer USB 3.0 Type-A Male to Type-A Male Cable (6', Blue)",kramer C-USB3/AA-6,720,936,11.14285714,0.18,,2023-09-16 00:00:00,
54.0,Stereo Audio/Control Bulk Cable,Kramer BC-2T300M,115,149.5,1.779761905,0.18,,2023-09-29 00:00:00,
55.0,BC-2S Speaker Bulk Cable,Kramer BC-2S-300M,88,114.4,1.361904762,0.18,,2023-09-29 00:00:00,
56.0,BC-UNIKATCAT6A U/FTP Video & LAN Bulk Cable ,BC-UNIKAT/LSHF-305M,85,110.5,1.31547619,0.18,,2023-10-17 00:00:00,
57.0,Kramer TP-580RXR Extended Range HDBaseT Twisted Pair Receiver,TP580RXR,29500,38350,456.547619,0.18,,2024-05-15 00:00:00,
58.0,Kramer TP-580TXR Extended Range HDBaseT Twisted Pair Transmitter,TP-580TXR,29500,38350,456.547619,0.18,,2024-05-10 00:00:00,
59.0,Kramer AD-RING-5 HDMI Adapter Ring,Kramer AD-RING-5,18000,23400,278.5714286,0.18,,2024-07-22 00:00:00,
60.0,Via Pad Wireless Content Presentation,Kramer,10000,13000,154.7619048,0.18,,,
61.0,BC-1X1 Coax RG–6 Super High–Resolution Bulk Cable,Kramer BC-1X,106,137.8,1.64047619,0.18,,2023-09-29 00:00:00,
62.0,WP-H1MPassive Wall Plate — HDMI,WP-H1M/EU/GB,6300,8190,97.5,0.18,,2024-09-08 00:00:00,
63.0,3-Mtr HDMI Cable High–Speed , c-hm/hm-10,1990,2587,30.79761905,0.18,,17/6/2025,
