Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Fohhn,,,,,,,,,
,,,INR ,With Margin INR,USD,,,,
1.0,"Fohhn Scale-Bar Cam with mount for
 camera with same width as display width",Scale-Bar Cam,445000,578500,6805.882353,0.18,,2025-06-17 00:00:00,
2.0,Fohhn amplifier,MA 4.100,295000,383500,4511.764706,0.18,,2025-06-17 00:00:00,
