Sr No.,Product type,Product name,Product code,Description,SELL Price,Unnamed: 6,Unnamed: 7,Updated Date,Remarks
CUE,,,,,,,,,
,,,,,INR,Dealer USD ($),Dealer USD with Margin,,
64.0,Cable & adapter,IR Adapter Set,CS0553,Set of IR transmitters,22680,189,245.7,,
65.0,Cable & adapter,Opto-Input Adapter /i,CS0257,Photosensitive cell,6120,51,66.3,,
66.0,Cable & adapter,Serial Cable 5-pin to RJ-14,CA0183,RS-485 serial cable,2280,19,24.7,,
67.0,Cable & adapter,Serial Cable 3-pin to RJ-14,CA0184,RS-485 serial cable,2280,19,24.7,,
68.0,Power supply,CUEadapter-24P24,CS0437,Wall-mount adapter with exchangeable AC plugs,11040,92,119.6,,
69.0,Power supply,CUEadapter-24DIN15,CS0474,DIN rail switching power supply 24 VDC / 15 W,11640,97,126.1,,
70.0,Power supply,DALIpwr,CS0459,DIN rail compatible DALI power supply,41880,349,453.7,,
71.0,Power supply,PoE Adapter,CS0327,Power over Ethernet injector,13800,115,149.5,,
72.0,Mounting adapter,Tabletop Holder 55,CS0586,"Desktop holder for installation of ""55"" units",8880,74,96.2,,
73.0,Mounting adapter,Under Desk Holder 55,CS0587,"Holder for installation of ""55"" units under the desk",8880,74,96.2,,
74.0,Mounting adapter,Wall Set 55,CS0583,"Wall set for installation of ""55"" units on the wall",5520,46,59.8,,
75.0,Mounting adapter,Pan Adapter 55,CS0584,Adapter non-CUE ready PANCONNECT boxes,5520,46,59.8,,
76.0,Mounting adapter,Rack Mounting Shelf,CS0449,19” EIA rack mounting shelf for controllers,25440,212,275.6,,
