SI NO.,CUSTOMER ITEM NO.,GOODS DESCRIPTION,Unnamed: 3,Unnamed: 4,PACKAGE,QTY,UNIT,MRP in INR
18.0,ALL-CT-C160-PU31-CMDP1-S0.15,"PREMIUM USB TYPE C TO DisplayPort Adapter, SUPPORT AUDIO-VIDEO 4K/60HZ ,USB3.1 COX cable 36-34 WITH BRAIDING, Gold plated,with Alumium housing, Printing CABLETIME+4K/60HZ WORDS , FLEXIBLE PVC+NYLON JACKET , RoHS",SPACE GREY,0.2M,1pc/cabletime BOX,10.0,PCS,21600.0
19.0,ALL-CT-C160-U31-TB3-B0.7,"1.Power：100W
 
 2.Current/Voltage：5A/20V
 
 3.Shell：Aliumium Housing (Space Grey),Thundbolt3 Print
 
 4. Connector: Type-C Male Nickle Plated, With Chipset Cypress CCG2
 
 5.Wire：USB3.1 Coaxial cable 
 
 32AWG*8C+32AWG*1C+32AWG*4C+26AWG*3C+PS 
 
 6.Jacket：Nylon Braided OD4.5mm 
 
 7.Certificate：ROHS2,REACH,USB-IF",Black,0.7m,1pc/cabletime BOX,3.0,PCS,27846.0
20.0,ALL-CT-C160-PU31-CMHD31-S0.15,"3-in-1 USB TYPE C TO HDMI+ USB3.0+USB-C PD adapter, SUPPORT AUDIO-VIDEO 4K/30HZ, USB3.0-DATA 5.0GBPS, ETHERNET GIGABIT AND PD POWER CHARGING,34/32/24AWG WITH BRAIDING, Nickle plated, with CABLETIME LOGO , BLACK Matt Flexible TPE Jacket , RoHS",BLACK,0.15M,1pc/cabletime BOX,20.0,PCS,43200.0
21.0,ALL-CT-C160-PU31-CMCM2-AG1.5,"PREMIUM USB3.1 Cable USB-C Male to USB-C Male, Gen2 USB3.1 Coaxial cable , 20Gbps DATA & Chargeing 5A, with E-Mark,Nickle plated, PVC Jacket+Nlyon Jacket, RoHS",black,1.5M,1pc/cabletime BOX,50.0,PCS,16200.0
22.0,ALL-CT-AV380-P04GN-SG2,"PRE Toslink Cable M/M, OD4.0mm,black cable+nylon Jacket ,Gold with Alumium Housing.w/clear cap, RoHS",BLACK,2m,1pc/cabletime BAG-S,3.0,PCS,5670.0
23.0,ALL-CT-C160-PU31-CMHV-S0.15,"USB TYPE C Male to HDMI+VGA female, With Alumium Housing , CABLETIME LOGO",WHITE,0.15M,1pc/cabletime BOX,50.0,PCS,14400.0
24.0,ALL-CT-AV589-P02G4k60(R)-SG0.15,"PREMIUM Cabletime Displayport to HDMI HDTV Adapter Cable, DP to HDMI Audio Video Cable SUPPORT4K/60HZ 1080P Compatible for Latest PC, Monitor , Projectors, Displays ,Black WITH LED, WITH RING",Space Grey,0.2M,1pc/cabletime BOX,3.0,PCS,17615.0
25.0,ALL-LC-CT-C160-PU31-CMHDF(R)-SG0.2,"PREMIUM USB type C to HDMI Adapter Cable , Support Audio/Video 4K /60HZ, For new Macbook, Computer, Laptop , 15cm/6inch，WITH LED AND RING",Space Grey,0.2M,1pc/cabletime BAG-S,3.0,PCS,21899.0
26.0,all-CT-CMAF3.0-AG0.15,"USB TYPE C Male to USB 3.0 A female, GEN1 5Gbps, OTG TYPE , Gold plated With Alumium Housing , Rohs",Space Grey,15CM,1pc/cabletime BOX,3.0,PCS,3755.0
27.0,all-AV-PS01,"MULTI PORT 4 TO HDMI SWITCH （DP, MINI DP, TYPE C, HDMI) TO HDMI SWITCH ， 4K/60HZ ,WITH SWITCH AND LED , space grey .",Space Grey,0.2M,1PC/cabletime box,25.0,PCS,111600.0
28.0,ALL-CT-C160-PU31-CMmDP-S0.15,"USB TYPE C Male to Mini DisplayPort Female,Space Grey
 
  1.Input：USB-C Gold Plated
 
 2.Output: MINI DP1.2 Female Gold Plated
 
 3.Transmission Rate：21.6Gbps
 
 4.Shell：Aluminum Alloy+TPE
 
 5.Wire： USB3.1 Coaxial Cable 36+34+26AWG with TC Braiding
 
 6.Jacket： Black TPE with Black Nylon Jacket
 
 7.OD：3.7mm",SPACE GREY,15CM,1pc/cabletime BOX,3.0,PCS,17615.0
29.0,ALL-CT-C160-PU33-CMAMn-S1,"PREMIUM USB C TO USB3.0 AM, GEN1 5Gbps，3.0vesion 30/30-22AWG, support 3A charging , Nickle plated with Alumium Housing , titanium Silver Color, with Nylon Jacket OD4.2mm, RoHS/Reach",SILVER,1.0m,1pc/cabletime BOX,3.0,PCS,6174.0
30.0,all-CT-HS4K-2G,"2-IN-1 HDMI Switcher,Interface： HDMI+HDMI×2,Resolution：4K30Hz, IC：TS3DV642,Material：Aluminum + ABS,Colour：Gray + Black,Weight：55g,Size：73.6×32×14mm",SPACE GREY,,1PC/cabletime box,3.0,PCS,12575.0
31.0,all-CT-HD8K-AG2,"8K PVC HDMI 2.1 Cable 30AWG Cable ,Gold plated, Support 8K/60HZ,Black PVC Jacket with Nylon braided",SPACE GREY,2.0M,1PC/cabletime box,50.0,PCS,14400.0
32.0,all-CT-DP8K-AG2,"1. Connector1: DP(20pin) Male Gold-Plated
 
 2. Connector2: DP(20pin) Male Gold-Plated
 
 3. Resolution: 8K60Hz DP1.4
 
 4. Wire: 30AWG(1/0.254BC*1P+1/0.254TCCS+AL)*5C+(1/254BC+PE)*4C
 
 +AL+144#/0.12AL, OD6.3mm , Black Nylon Braided
 
 5. Shell: Aluminum Alloy Space Grey
 
 6. Shielding: Aluminum Foil+Braided Screen",SPACE GREY,2M,1PC/cabletime box,3.0,PCS,7938.0
33.0,all-AV540-PUSHEAAG-DB1.8,"ULTRA Slim PRE HDMI2.0 AM/AM, GOLD ,Metal Cover",深蓝色,1.8M,1PC/cabletime box,50.0,PCS,14400.0
34.0,all-CT-AV566-PHE2G-B2,"PRE HDMI 2.0 CABLE M/M , 30AWG-CU ， goldplated with space grey Alumium Housing with logo , Black cable+PVC Jacket, RoHS",Space Grey,2.0米,1PC/cabletime box,50.0,PCS,10800.0
