Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1.0,Airtame Hub with 3-year core License – Screen Sharing & Digital Signage Functionality Share any window or whole screen content from your browser / Airplay / Google Cast / Miracast without installing any application on PC / Laptop along with Digital Signage functions. Additional PoE+ Power Supply required,AT-CD1-CORE-3Y,2025-07-08,
2.0,Airtame Core - Credit for renewal of 1 License for 1 year,AT-CORE-1Y-RENEWAL,2025-07-08,
3.0,"Airtame Hub Conferencing with 1-year Hybrid License – Conferencing, Screen Sharing & USB Functionality Airtame Hybrid allows you to Effortlessly control your video conferencing with a single conferencing system. Easy screen sharing for all participants in a room, and remote attendees & also Screen share in a meeting without joining the video conference call. Additional PoE+ Power Supply required.",AT-CD1-HYBRID-1Y,2025-07-08,
4.0,Airtame Hybrid - Credit for renewal of 1 License for 1 year,AT-HYBRID-1Y-RENEWAL,2025-07-08,
